3360.TWO 尚立 現價:11.90
3362.TWO 先進光 現價:140.5
3363.TWO 上詮 現價:70.1
3372.TWO 典範 現價:14.60
3373.TWO 熱映 現價:21.80
3374.TWO 精材 現價:128.0
3376.TW 新日興 現價:98.8
3379.TWO 彬台 現價:14.15
3380.TW 明泰 現價:34.55
3388.TWO 崇越電 現價:69.5
3390.TWO 旭軟 現價:18.85
3402.TWO 漢科 現價:49.90
3406.TW 玉晶光 現價:390.5
3413.TW 京鼎 現價:187.5
3416.TW 融程電 現價:115.5
3419.TW 譁裕 現價:18.95
3426.TWO 台興 現價:37.15
3430.TWO 奇鈦科 現價:44.30
3432.TW 台端 現價:10.95
3434.TWO 哲固 現價:27.50
3437.TW 榮創 現價:18.45
3438.TWO 類比科 現價:70.9
3441.TWO 聯一光 現價:38.00
3443.TW 創意 現價:1560
3444.TWO 利機 現價:112.5
3447.TW 展達 現價:39.60
3450.TW 聯鈞 現價:61.4
3454.TW 晶睿 現價:145.5
3455.TWO 由田 現價:70.1
3465.TWO 進泰電子 現價:68.7
3466.TWO 德晉 現價:27.75
3479.TWO 安勤 現價:97.0
3481.TW 群創 現價:12.65
3483.TWO 力致 現價:146.0
3484.TWO 崧騰 現價:42.05
3489.TWO 森寶 現價:12.90
3490.TWO 單井 現價:23.35
3491.TWO 昇達科 現價:171.0
3492.TWO 長盛 現價:18.30
3494.TW 誠研 現價:6.30
3498.TWO 陽程 現價:29.80
3499.TWO 環天科 現價:17.30
3501.TW 維熹 現價:49.55
